Month,Monthly_Revenue,Monthly_Expenses,CAC,LTV,Run_Rate,COGS,Profits,Category,Type_of_Items,LTV_CAC_Ratio,Burn_Rate
May-24,20232.05,22129.26,282.63,7265.38,242784.55,13691.72,-1897.21,Home Goods,Bedding,18.13781874,1990.78
Jun-24,20665.4,20939.19,288.76,6158.22,247984.75,15010.43,-273.79,Electronics,Laptops,23.0984237,87.23
Jul-24,20511.8,22502.58,288.64,5235.3,246141.65,15672.77,-1990.78,Books,Reference,19.00607789,1960.13
Aug-24,20237.35,20324.58,288.65,6667.36,242848.16,14630.49,-87.23,Apparel,Outerwear,27.70314628,-1803.77
Sep-24,20614.14,22574.27,294.51,5597.48,247369.74,14819.39,-1960.13,Home Goods,Decor,23.04512363,520.34
Oct-24,21065.14,19261.37,300.99,8338.37,252781.62,13534.82,1803.77,Services,Maintenance,19.63189215,247.89
Nov-24,21803.06,22323.4,304.94,7027.38,261636.73,13849.22,-520.34,Electronics,Tablets,20.17381429,-1311.49
Dec-24,21540.64,21788.53,297.44,5839.31,258487.67,16756.44,-247.89,Electronics,Tablets,29.31536602,-1537.48
Jan-25,21707.52,20396.03,294.97,5950.67,260490.2,17213.32,1311.49,Electronics,Phones,20.41491501,-27.44
Feb-25,22390.8,20853.32,302.03,8854.12,268689.56,13899.61,1537.48,Electronics,Phones,25.23193223,500.54
Mar-25,22199.89,22172.45,308.28,6293.51,266398.72,17614.73,27.44,Electronics,Tablets,19.03373846,978.17
Apr-25,21995.47,22496.01,306.9,7743.68,263945.68,15648.35,-500.54,Electronics,Phones,15.15028145,1584.99
May-25,21754.31,22732.48,301.14,5731.82,261051.75,14555.53,-978.17,Apparel,Pants,17.6580569,113.66
Jun-25,21865.73,23450.72,305.56,4629.32,262388.8,13608.39,-1584.99,Services,Consulting,26.90001998,-932.84
Jul-25,22570.88,22684.54,305.08,5387.12,270850.53,17533.89,-113.66,Services,Consulting,17.38807281,-54.98
Aug-25,22748.5,21815.66,300.36,8079.69,272982.01,14572.55,932.84,Services,Maintenance,24.05057828,-1663.71
Sep-25,22963.75,22908.77,296.13,5149.13,275565,17470.59,54.98,Home Goods,Decor,22.32197791,-1976.8
Oct-25,23157.21,21493.5,289.65,6966.25,277886.5,17733.07,1663.71,Books,Fiction,18.45868808,-2046.78
Nov-25,23832.46,21855.66,290.61,6486.99,285989.51,18206.85,1976.8,Books,Fiction,33.26702124,-2452.72
Dec-25,24690.52,22643.74,290.11,5355.05,296286.21,17416.87,2046.78,Home Goods,Kitchenware,34.15452142,717.7
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
